Year,Pairing,Fandom,Type,Works
2013,Sherlock Holmes/John Watson ,Sherlock (TV),M/M,20415
2013,Castiel/Dean Winchester ,Supernatural,M/M,15307
2013,Derek Hale/Stiles Stilinski ,Teen Wolf (TV),M/M,15162
2013,Dean Winchester/Sam Winchester ,Supernatural,M/M,7959
2013,Merlin/Arthur Pendragon ,Merlin (TV),M/M,7838
2013,Rodney McKay/John Sheppard ,Stargate Atlantis,M/M,7021
2013,Harry Styles/Louis Tomlinson ,One Direction (Band),M/M,6809
2013,Steve Rogers/Tony Stark ,The Avengers (Marvel Movies),M/M,6681
2013,Jim Ellison/Blair Sandburg ,The Sentinel,M/M,6660
2013,Draco Malfoy/Harry Potter ,Harry Potter,M/M,6107
2013,Clark Kent/Lex Luthor ,Smallville,M/M,5879
2013,Blaine Anderson/Kurt Hummel ,Glee,M/M,5483
2013,Sherlock Holmes & John Watson ,Sherlock (TV),Gen,5072
2013,Erik Lehnsherr/Charles Xavier ,X,M/M,5017
2013,Steve McGarrett/Danny “Danno” Williams ,Hawaii Five,M/M,4989
2013,Jensen Ackles/Jared Padalecki ,Supernatural RPF,M/M,4721
2013,Merlin/Arthur Pendragon (Merlin) ,Merlin (TV),M/M,4075
2013,Jack Harkness/Ianto Jones ,Torchwood,M/M,3796
2013,Clint Barton/Phil Coulson ,The Avengers (Marvel Movies),M/M,3721
2013,Arthur/Eames (Inception) ,Inception (2010),M/M,3645
2013,Sirius Black/Remus Lupin ,Harry Potter,M/M,3334
2013,James T. Kirk/Leonard McCoy ,Star Trek: Alternate Original Series (Movies),M/M,3140
2013,Enjolras/Grantaire ,Les Misérables,M/M,3041
2013,Clint Barton/Natasha Romanov ,The Avengers (Marvel Movies),F/M,3017
2013,James T. Kirk/Spock ,Star Trek: Alternate Original Series (Movies),M/M,2995
2013,Harry Potter/Severus Snape ,Harry Potter,M/M,2930
2013,Loki/Thor ,Thor (Movies),M/M,2921
2013,Allison Argent/Scott McCall ,Teen Wolf (TV),F/M,2855
2013,Gabriel/Sam Winchester ,Supernatural,M/M,2730
2013,Benton Fraser/Ray Kowalski ,due South,M/M,2624
2013,Frank/Gerard ,My Chemical Romance,M/M,2593
2013,Pepper Potts/Tony Stark ,The Avengers (Marvel Movies),F/M,2475
2013,Daniel Jackson/Jack O'Neill ,Stargate SG,M/M,2436
2013,Frank Iero/Gerard Way ,My Chemical Romance,M/M,2414
2013,Zayn Malik/Liam Payne ,One Direction (Band),M/M,2301
2013,Mycroft Holmes/Lestrade ,Sherlock (TV),M/M,2281
2013,Loki/Tony Stark ,The Avengers (Marvel Movies),M/M,2209
2013,John Egbert/Dave Strider ,Homestuck,M/M,2200
2013,Bilbo Baggins/Thorin Oakenshield ,The Hobbit,M/M,1973
2013,The Doctor/River Song ,Doctor Who (2005),F/M,1925
2013,Hermione Granger/Ron Weasley ,Harry Potter,F/M,1845
