,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sherlock (TV),20415,32111,39374,46048,52232,0,59436,61544,64408,66436,63386,63810
Supernatural,15307,28851,43209,56390,66148,0,79650,84563,96616,103225,102783,105322
Teen Wolf (TV),15162,26793,34999,42539,47528,0,56021,59286,62648,65528,63333,63483
Merlin (TV),7838,11006,13337,15778,17565,0,21068,18688,22577,25746,27082,28772
Stargate Atlantis,7021,8106,8548,9745,10445,0,11406,11951,12518,13416,13004,13254
One Direction (Band),6809,14632,21658,27354,29338,0,32449,33126,35365,37318,39028,40111
The Avengers (Marvel Movies),6681,9193,11999,16414,19859,0,30700,36264,40510,43436,42239,42116
The Sentinel,6660,7041,6090,6250,6446,0,7152,7366,0,0,0,0
Harry Potter,6107,9196,11552,15190,22402,0,33110,40312,49245,56507,59048,64693
Smallville,5879,6120,5270,5511,5630,0,6015,0,0,0,0,0
Glee,5483,8250,10911,12943,14059,0,15245,16175,17427,17912,16891,16909
X,5017,0,0,0,0,0,0,0,0,0,0,0
Hawaii Five,4989,5868,0,0,0,0,0,0,0,0,0,0
Supernatural RPF,4721,0,7751,9636,11242,0,12647,13046,13640,13983,13570,13453
Torchwood,3796,5026,5689,6666,7475,0,8779,9666,10827,11673,11916,12280
Inception (2010),3645,4164,4676,5490,6096,0,7002,7397,0,0,0,0
Star Trek: Alternate Original Series (Movies),3140,5119,6247,7501,9127,0,10895,12015,13316,14516,16286,18008
Les Misérables,3041,5504,6838,7907,8701,0,9960,0,11292,11803,11462,11611
Thor (Movies),2921,4494,5653,6506,6740,0,11533,12863,13642,14283,13563,13469
due South,2624,2839,3027,3269,4481,0,0,0,0,0,0,0
My Chemical Romance,2593,3408,4902,6667,7823,0,9000,9574,10234,10945,11872,12257
Stargate SG,2436,2805,0,0,0,0,0,0,0,0,0,0
Homestuck,2200,2938,3601,4184,4463,0,0,0,0,0,0,0
The Hobbit,1973,3446,6086,7719,8305,0,9374,9875,10518,11143,10997,11479
Doctor Who (2005),1925,2514,3426,4709,5583,0,9081,9568,10253,10753,10493,0
Buffy the Vampire Slayer,1840,2232,2545,3170,0,0,0,0,0,0,0,0
Skyfall (2012),1750,2560,3140,0,0,0,0,0,0,0,0,0
Adam Lambert (Musician),1746,1934,1951,0,0,0,0,0,0,0,0,0
Once Upon a Time (TV),1628,2614,4594,7239,9071,0,11388,12286,13451,14536,14632,14808
American Idol RPF,1550,1637,0,0,0,0,0,0,0,0,0,0
Hunger Games Trilogy,1432,2280,3148,3976,4326,0,0,0,0,0,0,0
NCIS,1362,1693,2021,0,0,0,0,0,0,0,0,0
Queer as Folk (US),1316,1598,2227,0,0,0,5638,0,0,0,0,0
Hannibal (TV),1287,3217,4626,8488,11262,0,15214,17257,21446,23997,25643,28318
House M.D.,1126,1281,0,0,0,0,0,0,0,0,0,0
The Professionals,1078,1391,0,0,0,0,0,0,0,0,0,0
Suits (TV),1072,1308,0,0,0,0,0,0,0,0,0,0
Twilight Series,1027,0,0,0,0,0,0,0,0,0,0,0
Captain America (Movies),1016,4614,12337,21639,27854,0,43515,49659,55252,59640,58160,58522
DCU (Comics),923,0,0,0,0,0,0,0,0,0,0,0
Spartacus Series (TV),890,0,0,0,0,0,0,0,0,0,0,0
Panic! at the Disco,889,0,0,0,0,0,0,0,0,0,0,0
Hetalia: Axis Powers,886,1450,2427,3374,4030,0,5301,0,0,0,0,0
Fall Out Boy,877,1354,2330,3952,4700,0,5750,0,0,0,0,0
El ,872,0,0,0,0,0,0,0,0,0,0,0
Naruto,819,0,1948,2931,3942,0,6104,7705,9578,11501,13062,0
Shameless (US),796,2930,5908,6885,8707,0,10131,11436,13094,14453,15154,16004
The Lord of the Rings,742,0,0,0,0,0,0,0,0,0,0,0
Star Trek RPF,730,0,0,0,0,0,0,0,0,0,0,0
White Collar,725,0,0,0,0,0,0,0,0,0,0,0
Hockey RPF,706,1348,0,0,0,0,0,0,0,0,0,0
Fullmetal Alchemist,704,0,0,0,0,0,0,0,0,0,0,0
The X,690,0,0,0,0,0,0,0,0,0,0,0
Castle,689,0,0,0,0,0,0,0,0,0,0,0
Starsky & Hutch,677,0,0,0,0,0,0,0,0,0,0,0
Generation Kill,675,0,0,0,0,0,0,0,0,0,0,0
Highlander: The Series,657,0,0,0,0,0,0,0,0,0,0,0
Gon Jinn/Obi,656,0,0,0,0,0,0,0,0,0,0,0
Criminal Minds,651,0,0,0,0,0,0,0,0,0,0,0
Young Avengers,651,0,0,0,0,0,0,0,0,0,0,0
Mass Effect,627,0,1992,2792,0,0,0,0,0,0,0,0
A Song of Ice and Fire,609,0,0,0,0,0,0,0,0,0,0,0
Person of Interest (TV),609,0,0,0,0,0,0,0,0,0,0,0
Battlestar Galactica (2003),604,0,0,0,0,0,0,0,0,0,0,0
Life on Mars (UK),601,0,0,0,0,0,0,0,0,0,0,0
Lizzie Bennet Diaries,599,0,0,0,0,0,0,0,0,0,0,0
